,Date,stock,value,change
1,03/01/2007,KCB,23.950705,-0.167452273
2,03/01/2007,FAMILY,80.517962,1.069188761
3,03/01/2007,EQUITY,16.149666,0.113476031
4,03/01/2007,STANCHART,11.086612,2.219568972
5,03/01/2007,ABSA,1416.599976,0.122828606
6,04/01/2007,KCB,23.910599,-0.570278478
7,04/01/2007,FAMILY,81.378851,-0.905299093
8,04/01/2007,EQUITY,16.167992,-0.425055876
9,04/01/2007,STANCHART,11.332687,-0.712125906
10,04/01/2007,ABSA,1418.339966,-0.608458142
11,05/01/2007,KCB,23.774242,0.978411846
12,05/01/2007,FAMILY,80.642129,1.519199723
13,05/01/2007,EQUITY,16.099269,-0.369948474
14,05/01/2007,STANCHART,11.251984,0.49383291
15,05/01/2007,ABSA,1409.709961,0.222031842
16,08/01/2007,KCB,24.006852,0.100229718
17,08/01/2007,FAMILY,81.867244,1.183010387
18,08/01/2007,EQUITY,16.03971,-0.428442908
19,08/01/2007,STANCHART,11.30755,8.307016109
20,08/01/2007,ABSA,1412.839966,-0.051667635
21,09/01/2007,KCB,24.030914,-1.001335197
22,09/01/2007,FAMILY,82.835742,-1.179174565
23,09/01/2007,EQUITY,15.970989,-0.315553407
24,09/01/2007,STANCHART,12.24687,4.785557453
25,09/01/2007,ABSA,1412.109985,0.19403524
26,10/01/2007,KCB,23.790284,3.506410432
27,10/01/2007,FAMILY,81.858964,-0.242691808
28,10/01/2007,EQUITY,15.920592,3.050363956
29,10/01/2007,STANCHART,12.832951,-1.237104389
30,10/01/2007,ABSA,1414.849976,0.633987359
31,11/01/2007,KCB,24.624469,1.66122973
32,11/01/2007,FAMILY,81.660299,0.699437801
33,11/01/2007,EQUITY,16.406228,0.251331385
34,11/01/2007,STANCHART,12.674194,-1.231731185
35,11/01/2007,ABSA,1423.819946,0.485316561
36,12/01/2007,KCB,25.033538,-0.160201087
37,12/01/2007,FAMILY,82.231462,1.489836092
38,12/01/2007,EQUITY,16.447462,0.891359409
39,12/01/2007,STANCHART,12.518082,2.621000565
40,12/01/2007,ABSA,1430.72998,0.081779512
41,16/01/2007,KCB,24.993434,-0.192550571
42,16/01/2007,FAMILY,83.456576,-0.793496489
43,16/01/2007,EQUITY,16.594068,0.193261833
44,16/01/2007,STANCHART,12.846181,-2.214214481
45,16/01/2007,ABSA,1431.900024,-0.089393741
46,17/01/2007,KCB,24.945309,-0.32154743
47,17/01/2007,FAMILY,82.794351,-0.569885499
48,17/01/2007,EQUITY,16.626138,-1.432900413
49,17/01/2007,STANCHART,12.561739,-6.192725386
50,17/01/2007,ABSA,1430.619995,-0.297073997
51,18/01/2007,KCB,24.865098,0.35484276
52,18/01/2007,FAMILY,82.322518,-3.298138913
53,18/01/2007,EQUITY,16.387902,-0.642992617
54,18/01/2007,STANCHART,11.783825,-0.639945009
55,18/01/2007,ABSA,1426.369995,0.289546542
56,19/01/2007,KCB,24.95333,-1.253620258
57,19/01/2007,FAMILY,79.607407,0.977437941
58,19/01/2007,EQUITY,16.282529,-0.703434952
59,19/01/2007,STANCHART,11.708415,-1.932208587
60,19/01/2007,ABSA,1430.5,-0.527790912
61,22/01/2007,KCB,24.64051,0.065104172
62,22/01/2007,FAMILY,80.38552,-0.030891136
63,22/01/2007,EQUITY,16.167992,-0.96344679
64,22/01/2007,STANCHART,11.482184,-1.255902187
65,22/01/2007,ABSA,1422.949951,0.354196505
66,23/01/2007,KCB,24.656552,1.138581745
67,23/01/2007,FAMILY,80.360688,0.329625102
68,23/01/2007,EQUITY,16.012222,-0.457794053
69,23/01/2007,STANCHART,11.337979,1.166865806
70,23/01/2007,ABSA,1427.98999,0.850147066
71,24/01/2007,KCB,24.937287,-2.058535878
72,24/01/2007,FAMILY,80.625577,0.112936866
73,24/01/2007,EQUITY,15.938919,-2.356997987
74,24/01/2007,STANCHART,11.470278,-0.519037115
75,24/01/2007,ABSA,1440.130005,-1.126980269
76,25/01/2007,KCB,24.423944,0.492610858
77,25/01/2007,FAMILY,80.716633,-0.061537502
78,25/01/2007,EQUITY,15.563239,-0.264944849
79,25/01/2007,STANCHART,11.410743,-1.008698557
80,25/01/2007,ABSA,1423.900024,-0.120792891
81,26/01/2007,KCB,24.544259,-0.228758179
82,26/01/2007,FAMILY,80.666962,1.11852607
83,26/01/2007,EQUITY,15.522005,2.007086069
84,26/01/2007,STANCHART,11.295643,0.655890063
85,26/01/2007,ABSA,1422.180054,-0.109694901
86,29/01/2007,KCB,24.488112,-0.163777428
87,29/01/2007,FAMILY,81.569243,0.8422991
88,29/01/2007,EQUITY,15.833545,0
89,29/01/2007,STANCHART,11.36973,-0.453801454
90,29/01/2007,ABSA,1420.619995,0.577209319
91,30/01/2007,KCB,24.448006,1.246723352
92,30/01/2007,FAMILY,82.2563,-0.221395808
93,30/01/2007,EQUITY,15.833545,1.099532669
94,30/01/2007,STANCHART,11.318134,0.210405708
95,30/01/2007,ABSA,1428.819946,0.659288389
96,31/01/2007,KCB,24.752805,-0.972136289
97,31/01/2007,FAMILY,82.074188,-0.151287516
98,31/01/2007,EQUITY,16.00764,-1.516888186
99,31/01/2007,STANCHART,11.341948,-1.15479281
100,31/01/2007,ABSA,1438.23999,0.535373168
101,01/02/2007,KCB,24.512174,-1.210729003
102,01/02/2007,FAMILY,81.95002,0.171715638
103,01/02/2007,EQUITY,15.764822,-0.406855212
104,01/02/2007,STANCHART,11.210972,0.011800939
105,01/02/2007,ABSA,1445.939941,0.169445074
106,02/02/2007,KCB,24.215398,-1.921166028
107,02/02/2007,FAMILY,82.090741,1.22012664
108,02/02/2007,EQUITY,15.700682,-0.729496973
109,02/02/2007,STANCHART,11.212295,-0.955754375
110,02/02/2007,ABSA,1448.390015,-0.096660774
111,05/02/2007,KCB,23.75018,-0.337723756
112,05/02/2007,FAMILY,83.092352,-0.527993238
113,05/02/2007,EQUITY,15.586146,-1.028817515
114,05/02/2007,STANCHART,11.105133,0.250181605
115,05/02/2007,ABSA,1446.98999,0.069800759
116,06/02/2007,KCB,23.66997,-0.474415472
117,06/02/2007,FAMILY,82.65363,-0.010040696
118,06/02/2007,EQUITY,15.425793,0
119,06/02/2007,STANCHART,11.132916,2.376708851
120,06/02/2007,ABSA,1448,0.139504144
121,07/02/2007,KCB,23.557676,-0.374531851
122,07/02/2007,FAMILY,82.645331,0.080371146
123,07/02/2007,EQUITY,15.425793,-0.742496674
124,07/02/2007,STANCHART,11.397513,0.03483216
125,07/02/2007,ABSA,1450.02002,-0.117926717
126,08/02/2007,KCB,23.469445,-0.956942101
127,08/02/2007,FAMILY,82.711754,-1.074080717
128,08/02/2007,EQUITY,15.311257,-1.37641867
129,08/02/2007,STANCHART,11.401483,-3.37665723
130,08/02/2007,ABSA,1448.310059,-0.707721384
131,09/02/2007,KCB,23.244856,-0.138021935
132,09/02/2007,FAMILY,81.823363,0.030439961
133,09/02/2007,EQUITY,15.10051,-0.8798577
134,09/02/2007,STANCHART,11.016494,1.933464494
135,09/02/2007,ABSA,1438.060059,-0.326138256
136,12/02/2007,KCB,23.212773,0.589459949
137,12/02/2007,FAMILY,81.84827,-0.294178484
138,12/02/2007,EQUITY,14.967647,-0.030606013
139,12/02/2007,STANCHART,11.229494,-0.21205764
140,12/02/2007,ABSA,1433.369995,0.759749056
141,13/02/2007,KCB,23.349603,1.344361187
142,13/02/2007,FAMILY,81.60749,0.925828009
143,13/02/2007,EQUITY,14.963066,2.08205992
144,13/02/2007,STANCHART,11.205681,0.708381757
145,13/02/2007,ABSA,1444.26001,0.764407996
146,14/02/2007,KCB,23.663506,0.204077959
147,14/02/2007,FAMILY,82.363035,-0.282256476
148,14/02/2007,EQUITY,15.274606,-0.359924177
149,14/02/2007,STANCHART,11.28506,-0.10551118
150,14/02/2007,ABSA,1455.300049,0.103759359
151,15/02/2007,KCB,23.711798,-2.443990118
152,15/02/2007,FAMILY,82.13056,0.070762941
